entry_time,exit_time,direction,entry_px,exit_px,pnl_pts,exit_reason
2022-03-10 10:20:00,2022-03-10 10:30:00,long,1499.3,1500.3,-0.44,target
2022-03-10 10:55:00,2022-03-10 11:00:00,long,1499.3,1500.2,-0.54,target
2022-03-10 11:05:00,2022-03-10 11:05:00,long,1498.5,1498.8569996522995,-1.083,stop
2022-03-10 11:25:00,2022-03-10 11:30:00,long,1498.5,1498.7,-1.24,session_end
2022-03-10 13:30:00,2022-03-10 13:30:00,long,1497.4,1496.9466095732846,-1.8934,stop
2022-03-10 13:50:00,2022-03-10 14:00:00,long,1496.7,1496.2765592465291,-1.8634,stop
2022-03-10 14:20:00,2022-03-10 14:20:00,long,1492.5,1493.3307756409195,-0.6092,stop
2022-03-11 09:30:00,2022-03-11 09:40:00,long,1485.0,1486.2,-0.24,target
2022-03-11 10:10:00,2022-03-11 10:15:00,long,1484.6,1484.5726120039556,-1.4674,stop
2022-03-11 10:35:00,2022-03-11 10:35:00,long,1480.6,1481.2594040160197,-0.7806,stop
2022-03-11 14:00:00,2022-03-11 14:15:00,long,1481.3,1479.3820173123863,-3.358,stop
2022-03-11 14:35:00,2022-03-11 14:35:00,long,1474.4,1474.4,-1.44,session_end
2022-03-14 09:30:00,2022-03-14 09:30:00,long,1471.2,1470.9862573726655,-1.6537,stop
2022-03-14 09:55:00,2022-03-14 10:15:00,long,1470.8,1469.6732130476662,-2.5668,stop
2022-03-14 10:35:00,2022-03-14 10:35:00,long,1467.0,1465.7519866242328,-2.688,stop
2022-03-14 10:55:00,2022-03-14 10:55:00,long,1464.0,1464.0822788627904,-1.3577,stop
2022-03-14 11:15:00,2022-03-14 11:30:00,long,1462.3,1461.9,-1.84,session_end
2022-03-14 14:00:00,2022-03-14 14:00:00,short,1464.8,1467.0417654724913,-3.6818,stop
2022-03-15 09:45:00,2022-03-15 09:50:00,short,1462.1,1463.028934146952,-2.3689,stop
2022-03-15 10:15:00,2022-03-15 10:35:00,short,1464.2,1461.2,1.56,target
2022-03-15 10:40:00,2022-03-15 10:50:00,long,1459.7,1461.7,0.56,target
2022-03-15 11:10:00,2022-03-15 11:30:00,long,1458.6,1461.6,1.56,target
2022-03-15 14:00:00,2022-03-15 14:00:00,short,1464.6,1465.6066291066006,-2.4466,stop
2022-03-16 09:35:00,2022-03-16 09:35:00,long,1469.9,1469.7278408430432,-1.6122,stop
2022-03-16 09:55:00,2022-03-16 09:55:00,long,1468.7,1468.6140457331671,-1.526,stop
2022-03-16 10:15:00,2022-03-16 10:15:00,long,1467.0,1467.3966573528692,-1.0433,stop
2022-03-16 10:35:00,2022-03-16 11:05:00,long,1466.7,1466.128146565897,-2.0119,stop
2022-03-16 11:25:00,2022-03-16 11:25:00,long,1466.5,1466.5309953796032,-1.409,stop
2022-03-16 13:35:00,2022-03-16 13:35:00,short,1470.9,1471.5036511182573,-2.0437,stop
2022-03-16 13:55:00,2022-03-16 14:00:00,short,1472.7,1473.9358002233223,-2.6758,stop
2022-03-17 09:30:00,2022-03-17 09:30:00,long,1475.3,1475.3732550890186,-1.3667,stop
2022-03-17 10:35:00,2022-03-17 10:35:00,short,1477.4,1478.1059125527931,-2.1459,stop
2022-03-17 11:00:00,2022-03-17 11:15:00,short,1478.0,1476.3,0.26,target
2022-03-17 11:20:00,2022-03-17 11:30:00,long,1475.9,1475.7,-1.64,session_end
2022-03-17 13:30:00,2022-03-17 13:55:00,long,1472.3,1471.7939790880484,-1.946,stop
2022-03-17 14:20:00,2022-03-17 14:20:00,long,1471.1,1470.5244909956891,-2.0155,stop
