date,open,high,low,close,volume,day_vwap
2023-05-29,1059.8,1068.5,1059.7,1067.8,7833,1062.9821183880165
2023-05-30,1069.3,1070.6,1064.4,1067.6,7105,1067.2421956368755
2023-05-31,1067.6,1068.5,1059.3,1062.6,7472,1064.7896324054248
2023-06-01,1061.8,1062.6,1056.7,1062.2,8846,1059.4109955535457
2023-06-02,1069.4,1084.5,1068.5,1081.6,10920,1077.3739957264957
2023-06-05,1082.6,1091.4,1082.6,1085.7,9666,1087.621053176081
2023-06-06,1085.3,1096.4,1084.1,1095.0,8129,1088.8222044531922
2023-06-07,1099.0,1100.2,1093.3,1098.6,8808,1096.3387110202846
2023-06-08,1098.9,1100.4,1089.3,1090.2,7736,1096.1313297138918
2023-06-09,1089.3,1094.6,1087.3,1094.0,6890,1090.397977745525
2023-06-12,1098.1,1109.0,1091.2,1107.0,8418,1095.0759800427654
2023-06-13,1109.2,1116.0,1106.6,1114.0,9163,1109.7571101167741
2023-06-14,1115.6,1123.5,1115.2,1116.8,9346,1118.0812825451173
2023-06-15,1110.0,1117.5,1108.5,1109.5,7719,1113.022045169927
