date,direction,entry_px,exit_px,target,stop_level,gap_z,pnl_pts,exit_reason
2023-02-01,short,1129.8,1105.41,1105.41,1141.76,2.0392,22.9476,target
2023-02-02,long,1090.3,1090.3,1117.23,1076.47,-1.9471,-1.44,day_end
2023-02-21,short,1088.0,1077.5,1063.31,1102.5,1.7027,9.06,day_end
2023-02-22,long,1064.8,1056.5,1086.16,1050.15,-1.4574,-9.74,day_end
2023-02-23,long,1045.2,1030.03,1064.89,1030.03,-1.2982,-16.6075,stop
2023-02-27,long,1017.1,1008.2,1035.67,1002.38,-1.2613,-10.34,day_end
2023-03-02,short,1031.2,1024.7,1013.79,1044.2,1.3393,5.06,day_end
2023-03-09,short,1042.5,1056.0,1019.4,1056.0,1.7113,-14.9363,stop
2023-03-22,short,1038.0,1035.6,1023.19,1049.63,1.2726,0.96,day_end
2023-04-26,long,1029.2,1037.5,1040.04,1022.78,-1.6893,6.86,day_end
2023-05-15,short,1067.0,1065.0,1052.55,1072.93,2.4366,0.56,day_end
2023-05-30,short,1069.3,1067.6,1062.98,1074.25,1.2752,0.26,day_end
2023-06-02,short,1069.4,1074.67,1059.41,1074.67,1.8969,-6.7061,stop
2023-06-07,short,1099.0,1098.6,1088.82,1104.67,1.7949,-1.04,day_end
2023-06-12,short,1098.1,1103.35,1090.4,1103.35,1.4667,-6.6914,stop
2023-06-13,short,1109.2,1115.07,1095.08,1115.07,2.4043,-7.3146,stop
2023-06-15,long,1110.0,1109.5,1118.08,1103.75,-1.2924,-1.94,day_end
2023-06-16,long,1104.2,1113.02,1113.02,1097.71,-1.3593,7.382,target
2023-06-19,long,1100.2,1095.5,1113.91,1092.88,-1.8714,-6.14,day_end
2023-06-22,short,1115.5,1111.7,1100.11,1123.38,1.9542,2.36,day_end
2023-06-30,long,1116.1,1119.1,1126.65,1107.91,-1.289,1.56,day_end
2023-07-24,short,1185.1,1191.77,1166.72,1191.77,2.7541,-8.1129,stop
2023-07-31,short,1213.9,1220.57,1198.53,1220.57,2.3049,-8.11,stop
2023-08-01,short,1235.2,1226.2,1217.74,1242.34,2.4434,7.56,day_end
2023-08-02,long,1221.1,1219.6,1237.04,1212.58,-1.8718,-2.94,day_end
2023-08-07,short,1237.8,1246.7,1220.19,1246.97,1.9207,-10.34,day_end
2023-08-08,short,1254.2,1242.0,1241.46,1263.5,1.3711,10.76,day_end
2023-08-14,short,1242.5,1241.8,1230.26,1252.29,1.2511,-0.74,day_end
2023-08-18,long,1238.2,1227.47,1255.9,1227.47,-1.6489,-12.1718,stop
2023-08-21,long,1185.3,1191.0,1225.42,1171.55,-2.9182,4.26,day_end
2023-08-23,short,1201.9,1181.51,1181.51,1216.35,1.4116,18.9511,target
2023-09-07,short,1262.8,1253.0,1242.72,1276.11,1.5091,8.36,day_end
2023-09-13,short,1258.1,1237.17,1237.17,1272.45,1.4592,19.4933,target
2023-09-22,long,1200.7,1189.66,1226.76,1189.66,-2.3601,-12.4817,stop
2023-09-26,long,1162.3,1160.1,1188.59,1149.89,-2.1184,-3.64,day_end
2023-10-04,long,1121.5,1142.53,1142.53,1108.23,-1.5853,19.5904,target
2023-10-10,short,1155.3,1155.2,1138.94,1168.25,1.2636,-1.34,day_end
2023-10-20,long,1100.8,1117.86,1117.86,1088.87,-1.4306,15.6217,target
2023-10-26,long,1102.9,1091.73,1118.71,1091.73,-1.4152,-12.6149,stop
2023-10-31,long,1044.0,1038.2,1057.96,1032.91,-1.2586,-7.24,day_end
2023-11-03,short,1092.3,1090.0,1064.32,1104.67,2.2619,0.86,day_end
2023-11-09,short,1136.2,1126.5,1095.77,1150.92,2.7458,8.26,day_end
2023-11-15,short,1141.6,1135.0,1117.61,1157.17,1.5412,5.16,day_end
2023-11-20,long,1082.1,1102.2,1126.18,1063.64,-2.3878,18.66,day_end
2023-11-24,long,1082.7,1084.4,1109.83,1063.48,-1.4114,0.26,day_end
2023-12-29,short,1133.6,1134.0,1123.9,1139.75,1.5788,-1.84,day_end
